GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Comparator,org.bremersee.comparator.spring,ComparatorSpringUtils,0,94,0,18,0,28,0,13,0,4
Comparator,org.bremersee.comparator,ComparatorChain,3,54,2,10,0,15,2,6,0,2
Comparator,org.bremersee.comparator,ValueComparator,8,165,3,39,2,38,4,22,1,4
Comparator,org.bremersee.comparator,ComparatorBuilder,2,95,3,7,0,17,3,13,0,11
Comparator,org.bremersee.comparator,ValueExtractorException,0,9,0,0,0,4,0,2,0,2
Comparator,org.bremersee.comparator,WellKnownTextParser,0,197,1,17,0,44,1,15,0,7
Comparator,org.bremersee.comparator,ComparatorFieldsConverter,1,35,1,3,0,12,1,5,0,4
Comparator,org.bremersee.comparator,ComparatorException,0,9,0,0,0,4,0,2,0,2
Comparator,org.bremersee.comparator,WellKnownTextParser.Impl,6,15,0,0,1,5,1,2,1,2
Comparator,org.bremersee.comparator,ComparatorBuilder.DefaultComparatorBuilder,0,63,1,3,0,13,1,6,0,5
Comparator,org.bremersee.comparator,ComparatorFieldConverter,1,25,1,1,0,10,1,4,0,4
Comparator,org.bremersee.comparator,ValueExtractor,26,190,10,26,5,40,9,17,0,8
Comparator,org.bremersee.comparator,DelegatingComparator,6,45,0,4,2,10,1,4,1,2
Comparator,org.bremersee.comparator,DefaultValueExtractor,0,131,0,22,0,32,0,15,0,4
Comparator,org.bremersee.comparator.model,ComparatorField,0,73,0,2,0,20,0,10,0,9
Comparator,org.bremersee.comparator.model,WellKnownTextProperties,0,80,2,16,0,17,2,23,0,16
Comparator,org.bremersee.comparator.model,ComparatorFields,3,51,0,2,1,14,1,7,1,6
Comparator,org.bremersee.comparator.model,ObjectFactory,0,11,0,0,0,3,0,3,0,3
